Transcript stable ID version	Gene stable ID	Gene stable ID version
ENSMUST00000136755.9	ENSMUSG00000021763	ENSMUSG00000021763.17
ENSMUST00000135096.1	ENSMUSG00000021763	ENSMUSG00000021763.17
ENSMUST00000078163.13	ENSMUSG00000021763	ENSMUSG00000021763.17
ENSMUST00000163677.2	ENSMUSG00000020590	ENSMUSG00000020590.16
ENSMUST00000048519.16	ENSMUSG00000020590	ENSMUSG00000020590.16
ENSMUST00000043845.13	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000141814.1	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000125985.7	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000154525.1	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000124802.1	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000144549.1	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000163762.7	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000171088.7	ENSMUSG00000032841	ENSMUSG00000032841.15
ENSMUST00000163790.1	ENSMUSG00000079364	ENSMUSG00000079364.3
ENSMUST00000051011.13	ENSMUSG00000047090	ENSMUSG00000047090.13
ENSMUST00000001130.7	ENSMUSG00000001103	ENSMUSG00000001103.7
ENSMUST00000125670.2	ENSMUSG00000001103	ENSMUSG00000001103.7
ENSMUST00000236632.1	ENSMUSG00000045826	ENSMUSG00000045826.9
ENSMUST00000061086.8	ENSMUSG00000045826	ENSMUSG00000045826.9
ENSMUST00000062678.10	ENSMUSG00000061032	ENSMUSG00000061032.9
ENSMUST00000180768.1	ENSMUSG00000078537	ENSMUSG00000078537.3
ENSMUST00000080505.6	ENSMUSG00000078537	ENSMUSG00000078537.3
ENSMUST00000218001.1	ENSMUSG00000025354	ENSMUSG00000025354.5
ENSMUST00000217745.1	ENSMUSG00000025354	ENSMUSG00000025354.5
ENSMUST00000219508.1	ENSMUSG00000025354	ENSMUSG00000025354.5
ENSMUST00000026410.1	ENSMUSG00000025354	ENSMUSG00000025354.5
ENSMUST00000218511.1	ENSMUSG00000025354	ENSMUSG00000025354.5
ENSMUST00000060435.6	ENSMUSG00000050989	ENSMUSG00000050989.9
ENSMUST00000123874.7	ENSMUSG00000024835	ENSMUSG00000024835.15
ENSMUST00000008893.8	ENSMUSG00000024835	ENSMUSG00000024835.15
ENSMUST00000237125.1	ENSMUSG00000024835	ENSMUSG00000024835.15
ENSMUST00000031492.14	ENSMUSG00000029518	ENSMUSG00000029518.15
ENSMUST00000003860.12	ENSMUSG00000003762	ENSMUSG00000003762.13
ENSMUST00000108378.9	ENSMUSG00000003762	ENSMUSG00000003762.13
ENSMUST00000097694.10	ENSMUSG00000049339	ENSMUSG00000049339.16
ENSMUST00000190240.6	ENSMUSG00000049339	ENSMUSG00000049339.16
ENSMUST00000189650.6	ENSMUSG00000049339	ENSMUSG00000049339.16
ENSMUST00000186037.6	ENSMUSG00000049339	ENSMUSG00000049339.16
ENSMUST00000187901.1	ENSMUSG00000049339	ENSMUSG00000049339.16
ENSMUST00000189345.1	ENSMUSG00000049339	ENSMUSG00000049339.16
ENSMUST00000056665.3	ENSMUSG00000048732	ENSMUSG00000048732.5
ENSMUST00000065767.8	ENSMUSG00000026047	ENSMUSG00000026047.13
ENSMUST00000027213.13	ENSMUSG00000026047	ENSMUSG00000026047.13
ENSMUST00000216874.1	ENSMUSG00000032175	ENSMUSG00000032175.11
ENSMUST00000214454.1	ENSMUSG00000032175	ENSMUSG00000032175.11
ENSMUST00000214864.1	ENSMUSG00000032175	ENSMUSG00000032175.11
ENSMUST00000001036.10	ENSMUSG00000032175	ENSMUSG00000032175.11
ENSMUST00000113270.2	ENSMUSG00000079440	ENSMUSG00000079440.2
ENSMUST00000099623.9	ENSMUSG00000074968	ENSMUSG00000074968.11
ENSMUST00000140777.1	ENSMUSG00000074968	ENSMUSG00000074968.11
ENSMUST00000021536.8	ENSMUSG00000021114	ENSMUSG00000021114.9
ENSMUST00000000430.13	ENSMUSG00000000420	ENSMUSG00000000420.15
ENSMUST00000170243.7	ENSMUSG00000000420	ENSMUSG00000000420.15
