N,T1,T8,T27,T64,S8,S27,S64,Time Units are in second,This was tested in a 8 thread machine
11,2.02,1.79,3.69,7.83,1.13,0.55,0.26,,
23,73.11,25.56,35.13,40.43,2.86,2.08,1.81,,
35,630.85,228.11,281.8,308.68,2.77,2.24,2.04,,
47,3318.39,1105.78,1153.53,1174.99,3.03,2.85,2.85,,
